"Jobs","Code","Occupation_Type","Employment_2016","Employment_2026","Employment_Change_Number","Employment_Change_Percent","Percent_Self_Employed_2016","Occupational_Openings","Median_Annual_2017","Entry_Education","Work_Experience","layer1","layer2","layer3"
"Farmworkers and laborers, crop, nursery, and greenhouse","45-2092","Line item",503.7,509.2,5.5,1.1,0.7,76.8,"23380","No formal educational credential","None","45","2","092"
"Farmworkers, farm, ranch, and aquacultural animals","45-2093","Line item",268.1,258,-10.1,-3.8,0.2,38.6,"25470","No formal educational credential","None","45","2","093"
"Agricultural workers, all other","45-2099","Line item",11.6,12.1,0.5,4.4,0.4,1.8,"30600","No formal educational credential","None","45","2","099"
"Fishing and hunting workers","45-3000","Line item",27,29.9,2.9,10.8,60.6,3.1,"28530","No formal educational credential","None","45","3","000"
"Forest, conservation, and logging workers","45-4000","Summary",69.6,62.4,-7.3,-10.4,22.3,8,"37460","—","—","45","4","000"
"Forest and conservation workers","45-4011","Line item",14.3,14,-0.3,-2.4,13.6,2.1,"27650","High school diploma or equivalent","None","45","4","011"
"Fallers","45-4021","Line item",7.5,6.3,-1.2,-16.2,25.1,0.8,"40690","High school diploma or equivalent","None","45","4","021"
"Logging equipment operators","45-4022","Line item",39.1,34.2,-4.9,-12.6,24.6,4.2,"38390","High school diploma or equivalent","None","45","4","022"
"Log graders and scalers","45-4023","Line item",4.2,4.1,-0.1,-3,25.1,0.5,"37880","High school diploma or equivalent","None","45","4","023"
"Logging workers, all other","45-4029","Line item",4.5,3.9,-0.7,-14.7,23.3,0.5,"39740","High school diploma or equivalent","None","45","4","029"
"Construction and extraction occupations","47-0000","Summary",6812.5,7560,747.6,11,17.5,798.1,"44730","—","—","47","0","000"
"Supervisors of construction and extraction workers","47-1000","Summary",602.5,678.3,75.8,12.6,10.2,68.5,"64070","—","—","47","1","000"
"First-line supervisors of construction trades and extraction workers","47-1011","Line item",602.5,678.3,75.8,12.6,10.2,68.5,"64070","High school diploma or equivalent","5 years or more","47","1","011"
"Construction trades workers","47-2000","Summary",5347,5908,561,10.5,20.6,610.5,"43490","—","—","47","2","000"
"Boilermakers","47-2011","Line item",17.2,18.7,1.5,9,3.2,1.9,"62260","High school diploma or equivalent","None","47","2","011"
"Brickmasons and blockmasons","47-2021","Line item",91.1,100.5,9.4,10.3,29.8,9,"49770","High school diploma or equivalent","None","47","2","021"
"Stonemasons","47-2022","Line item",18.9,20.7,1.8,9.5,29.9,1.8,"38940","High school diploma or equivalent","None","47","2","022"
"Carpenters","47-2031","Line item",1025.6,1109.4,83.8,8.2,33.2,104.4,"45170","High school diploma or equivalent","None","47","2","031"
"Carpet installers","47-2041","Line item",40.4,44.2,3.8,9.4,35.9,3.9,"38830","No formal educational credential","None","47","2","041"
"Floor layers, except carpet, wood, and hard tiles","47-2042","Line item",16.3,17.9,1.6,9.7,35.8,1.6,"40040","No formal educational credential","None","47","2","042"
"Floor sanders and finishers","47-2043","Line item",7.3,7.9,0.7,9.5,35.9,0.7,"36950","No formal educational credential","None","47","2","043"
"Tile and marble setters","47-2044","Line item",58.3,64,5.6,9.7,35.9,5.7,"41680","No formal educational credential","None","47","2","044"
"Cement masons and concrete finishers","47-2051","Line item",178.9,201.5,22.5,12.6,2.4,22.4,"40650","No formal educational credential","None","47","2","051"
"Terrazzo workers and finishers","47-2053","Line item",3.6,4,0.4,12.3,2.4,0.4,"40590","High school diploma or equivalent","None","47","2","053"
"Construction laborers","47-2061","Line item",1216.7,1367.1,150.4,12.4,25.1,145.3,"34530","No formal educational credential","None","47","2","061"
"Paving, surfacing, and tamping equipment operators","47-2071","Line item",51.9,58.2,6.3,12.1,0.3,6.2,"39120","High school diploma or equivalent","None","47","2","071"
"Pile-driver operators","47-2072","Line item",3.7,4.2,0.5,14.6,4.1,0.5,"57650","High school diploma or equivalent","None","47","2","072"
"Operating engineers and other construction equipment operators","47-2073","Line item",371.1,416.9,45.8,12.3,3.5,47.3,"47040","High school diploma or equivalent","None","47","2","073"
"Drywall and ceiling tile installers","47-2081","Line item",119.5,120.7,1.2,1,22.3,10.5,"42860","No formal educational credential","None","47","2","081"
"Tapers","47-2082","Line item",23.7,23.8,0.1,0.3,22.3,2.1,"51620","No formal educational credential","None","47","2","082"
"Electricians","47-2111","Line item",666.9,726.5,59.6,8.9,8.1,82,"54110","High school diploma or equivalent","None","47","2","111"
"Glaziers","47-2121","Line item",50.1,55.3,5.3,10.5,5.3,6.5,"42580","High school diploma or equivalent","None","47","2","121"
"Insulation workers, floor, ceiling, and wall","47-2131","Line item",30.9,31.3,0.4,1.3,5,3.3,"37050","No formal educational credential","None","47","2","131"
"Insulation workers, mechanical","47-2132","Line item",28.6,31.4,2.8,9.7,4.9,3.4,"45550","High school diploma or equivalent","None","47","2","132"
"Painters, construction and maintenance","47-2141","Line item",381.5,403.4,21.9,5.7,42.3,35.2,"37960","No formal educational credential","None","47","2","141"
"Paperhangers","47-2142","Line item",5.7,6,0.3,4.6,43.9,0.5,"37030","No formal educational credential","None","47","2","142"
"Pipelayers","47-2151","Line item",44.1,51.7,7.6,17.2,10.7,5.7,"38400","No formal educational credential","None","47","2","151"
"Plumbers, pipefitters, and steamfitters","47-2152","Line item",480.6,555.8,75.2,15.6,12.6,61,"52590","High school diploma or equivalent","None","47","2","152"
"Plasterers and stucco masons","47-2161","Line item",27.7,28.8,1.1,3.9,18,2.7,"40750","No formal educational credential","None","47","2","161"
"Reinforcing iron and rebar workers","47-2171","Line item",20.1,22.5,2.4,12.1,NA,2.4,"46850","High school diploma or equivalent","None","47","2","171"
"Roofers","47-2181","Line item",146.2,162.4,16.2,11.1,20.9,16.5,"38970","No formal educational credential","None","47","2","181"
"Sheet metal workers","47-2211","Line item",138.9,150.9,12,8.7,1.9,16.2,"47990","High school diploma or equivalent","None","47","2","211"
"Structural iron and steel workers","47-2221","Line item",70.2,79.2,9,12.8,0.9,8.7,"52610","High school diploma or equivalent","None","47","2","221"
"Solar photovoltaic installers","47-2231","Line item",11.3,23.1,11.8,104.9,20.3,3,"39490","High school diploma or equivalent","None","47","2","231"
"Helpers, construction trades","47-3000","Summary",232.7,262.8,30.1,12.9,1,37.4,"30120","—","—","47","3","000"
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","47-3011","Line item",24.1,27,2.9,12.1,1,3.8,"31710","No formal educational credential","None","47","3","011"
"Helpers--carpenters","47-3012","Line item",36.7,41.4,4.7,12.8,1,5.9,"29860","No formal educational credential","None","47","3","012"
"Helpers--electricians","47-3013","Line item",73.2,80.9,7.7,10.6,1,11.5,"30540","High school diploma or equivalent","None","47","3","013"
"Helpers--painters, paperhangers, plasterers, and stucco masons","47-3014","Line item",10.9,11.4,0.5,4.1,1,1.6,"28760","No formal educational credential","None","47","3","014"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters","47-3015","Line item",55.5,65.8,10.3,18.6,0.9,9.5,"29890","High school diploma or equivalent","None","47","3","015"
"Helpers--roofers","47-3016","Line item",10.2,11.5,1.3,12.4,1,1.6,"28500","No formal educational credential","None","47","3","016"
"Helpers, construction trades, all other","47-3019","Line item",22.1,24.8,2.7,12.1,0.9,3.5,"29660","No formal educational credential","None","47","3","019"
"Other construction and related workers","47-4000","Summary",435.8,480.4,44.6,10.2,5.6,53.2,"44090","—","—","47","4","000"
"Construction and building inspectors","47-4011","Line item",105.1,115.7,10.5,10,7.6,12.7,"59090","High school diploma or equivalent","5 years or more","47","4","011"
"Elevator installers and repairers","47-4021","Line item",22.1,24.8,2.7,12.1,NA,3,"79480","High school diploma or equivalent","None","47","4","021"
"Fence erectors","47-4031","Line item",25.1,27.9,2.7,10.8,15.1,3.2,"33320","No formal educational credential","None","47","4","031"
"Hazardous materials removal workers","47-4041","Line item",46.2,54.1,7.9,17.2,4,6.7,"41400","High school diploma or equivalent","None","47","4","041"
"Highway maintenance workers","47-4051","Line item",149.9,160.2,10.3,6.9,1,16.5,"38700","High school diploma or equivalent","None","47","4","051"
"Rail-track laying and maintenance equipment operators","47-4061","Line item",14,15.2,1.2,8.6,NA,1.5,"56060","High school diploma or equivalent","None","47","4","061"
"Septic tank servicers and sewer pipe cleaners","47-4071","Line item",28.5,33.4,4.9,17.2,7,4.3,"37950","High school diploma or equivalent","None","47","4","071"
"Segmental pavers","47-4091","Line item",2.1,2.4,0.3,12,20.7,0.3,"—","High school diploma or equivalent","None","47","4","091"
"Construction and related workers, all other","47-4099","Line item",42.7,46.8,4.1,9.6,16.5,5.1,"—","High school diploma or equivalent","None","47","4","099"
"Extraction workers","47-5000","Summary",194.4,230.6,36.2,18.6,1.9,28.6,"44070","—","—","47","5","000"
"Derrick operators, oil and gas","47-5011","Line item",11.1,13.9,2.8,25.7,NA,1.8,"46140","No formal educational credential","None","47","5","011"
"Rotary drill operators, oil and gas","47-5012","Line item",16.7,20.8,4,24.2,NA,2.6,"53980","No formal educational credential","None","47","5","012"
"Service unit operators, oil, gas, and mining","47-5013","Line item",41.4,51.1,9.7,23.4,NA,6.4,"48290","No formal educational credential","None","47","5","013"
"Earth drillers, except oil and gas","47-5021","Line item",19.6,23.5,3.9,19.6,8.3,2.6,"43850","High school diploma or equivalent","None","47","5","021"
"Explosives workers, ordnance handling experts, and blasters","47-5031","Line item",6.3,6.8,0.5,7.1,NA,0.8,"49650","High school diploma or equivalent","Less than 5 years","47","5","031"
"Continuous mining machine operators","47-5041","Line item",12.3,11.9,-0.5,-3.7,5.5,1.4,"54620","No formal educational credential","None","47","5","041"
"Mine cutting and channeling machine operators","47-5042","Line item",6.1,5.8,-0.3,-4.5,5.5,0.7,"52270","High school diploma or equivalent","None","47","5","042"
"Mining machine operators, all other","47-5049","Line item",2.2,2.2,0,0.2,5.5,0.3,"48850","High school diploma or equivalent","None","47","5","049"
"Rock splitters, quarry","47-5051","Line item",3.7,3.5,-0.2,-6.3,NA,0.4,"34350","No formal educational credential","None","47","5","051"
"Roof bolters, mining","47-5061","Line item",3.7,3.5,-0.2,-5.2,NA,0.4,"58450","High school diploma or equivalent","None","47","5","061"
"Roustabouts, oil and gas","47-5071","Line item",50,62.4,12.4,24.8,1.8,8,"36960","No formal educational credential","None","47","5","071"
"Helpers--extraction workers","47-5081","Line item",17,20.3,3.4,19.7,NA,2.6,"35710","High school diploma or equivalent","None","47","5","081"
"Extraction workers, all other","47-5099","Line item",4.2,4.8,0.7,15.9,NA,0.6,"49230","High school diploma or equivalent","None","47","5","099"
"Installation, maintenance, and repair occupations","49-0000","Summary",5905.4,6293.6,388.2,6.6,5.2,610.6,"44520","—","—","49","0","000"
"Supervisors of installation, maintenance, and repair workers","49-1000","Summary",462.2,495,32.8,7.1,0.1,43.4,"64780","—","—","49","1","000"
"First-line supervisors of mechanics, installers, and repairers","49-1011","Line item",462.2,495,32.8,7.1,0.1,43.4,"64780","High school diploma or equivalent","Less than 5 years","49","1","011"
"Electrical and electronic equipment mechanics, installers, and repairers","49-2000","Summary",628.1,621.3,-6.7,-1.1,5.4,60.8,"49530","—","—","49","2","000"
"Computer, automated teller, and office machine repairers","49-2011","Line item",119.5,117.7,-1.8,-1.5,14.9,11.2,"37710","Some college, no degree","None","49","2","011"
"Radio, cellular, and tower equipment installers and repairs","49-2021","Line item",14.5,15.3,0.8,5.4,2.1,1.6,"56000","Associate's degree","None","49","2","021"
"Telecommunications equipment installers and repairers, except line installers","49-2022","Line item",237.6,219.4,-18.2,-7.6,2.3,21.9,"53380","Postsecondary nondegree award","None","49","2","022"
"Avionics technicians","49-2091","Line item",17.5,18.6,1.1,6,NA,1.5,"62650","Associate's degree","None","49","2","091"
"Electric motor, power tool, and related repairers","49-2092","Line item",17.3,18.5,1.2,7,1.7,1.8,"42580","High school diploma or equivalent","Less than 5 years","49","2","092"
"Electrical and electronics installers and repairers, transportation equipment","49-2093","Line item",13.9,14.3,0.4,2.9,NA,1.3,"60840","Postsecondary nondegree award","None","49","2","093"
"Electrical and electronics repairers, commercial and industrial equipment","49-2094","Line item",68.3,69.9,1.6,2.4,NA,6.1,"57190","Postsecondary nondegree award","None","49","2","094"
"Electrical and electronics repairers, powerhouse, substation, and relay","49-2095","Line item",23.4,24.3,0.9,3.7,NA,2.1,"78410","Postsecondary nondegree award","Less than 5 years","49","2","095"
"Electronic equipment installers and repairers, motor vehicles","49-2096","Line item",12.1,9,-3.1,-25.6,1.9,0.7,"34530","High school diploma or equivalent","None","49","2","096"
"Electronic home entertainment equipment installers and repairers","49-2097","Line item",31.7,31.7,0,0,19.8,3.3,"37190","Postsecondary nondegree award","None","49","2","097"
"Security and fire alarm systems installers","49-2098","Line item",72.3,82.6,10.4,14.4,5.1,9.4,"45670","High school diploma or equivalent","None","49","2","098"
"Vehicle and mobile equipment mechanics, installers, and repairers","49-3000","Summary",1750.2,1866.2,116,6.6,8.7,180.4,"42130","—","—","49","3","000"
"Aircraft mechanics and service technicians","49-3011","Line item",132,138.5,6.4,4.9,0.7,10.9,"61020","Postsecondary nondegree award","None","49","3","011"
"Automotive body and related repairers","49-3021","Line item",160.4,174.1,13.6,8.5,9.3,17.1,"41970","High school diploma or equivalent","None","49","3","021"
"Automotive glass installers and repairers","49-3022","Line item",19.6,20.9,1.3,6.5,3.8,2.1,"34170","High school diploma or equivalent","None","49","3","022"
"Automotive service technicians and mechanics","49-3023","Line item",749.9,795.8,45.9,6.1,13.1,75.6,"39550","Postsecondary nondegree award","None","49","3","023"
"Bus and truck mechanics and diesel engine specialists","49-3031","Line item",278.8,304.6,25.8,9.2,6.9,28.2,"46360","High school diploma or equivalent","None","49","3","031"
"Farm equipment mechanics and service technicians","49-3041","Line item",42.5,45.7,3.2,7.6,2.7,4.5,"39340","High school diploma or equivalent","None","49","3","041"
"Mobile heavy equipment mechanics, except engines","49-3042","Line item",127.4,137.9,10.5,8.3,2.8,13.5,"50860","High school diploma or equivalent","None","49","3","042"
"Rail car repairers","49-3043","Line item",22.3,23.4,1.2,5.2,2.9,2.3,"57460","High school diploma or equivalent","None","49","3","043"
"Motorboat mechanics and service technicians","49-3051","Line item",23.4,23.3,-0.1,-0.5,12.2,2.4,"38960","High school diploma or equivalent","None","49","3","051"
"Motorcycle mechanics","49-3052","Line item",18.3,18.4,0,0.3,12.4,1.9,"35680","Postsecondary nondegree award","None","49","3","052"
"Outdoor power equipment and other small engine mechanics","49-3053","Line item",37.6,41.5,3.9,10.3,12,4.4,"34370","High school diploma or equivalent","None","49","3","053"
"Bicycle repairers","49-3091","Line item",12.4,16.1,3.6,29.3,1.9,2.1,"28390","High school diploma or equivalent","None","49","3","091"
"Recreational vehicle service technicians","49-3092","Line item",13.8,13.7,-0.2,-1.1,1.8,1.7,"37200","High school diploma or equivalent","None","49","3","092"
"Tire repairers and changers","49-3093","Line item",111.7,112.5,0.8,0.7,1.8,13.8,"26710","High school diploma or equivalent","None","49","3","093"
"Other installation, maintenance, and repair occupations","49-9000","Summary",3065,3311.1,246.1,8,4,325.9,"42010","—","—","49","9","000"
"Mechanical door repairers","49-9011","Line item",20.4,22.5,2.1,10.2,2.1,1.8,"39510","High school diploma or equivalent","None","49","9","011"
"Control and valve installers and repairers, except mechanical door","49-9012","Line item",46.9,49.2,2.3,4.9,1.7,3.8,"55850","High school diploma or equivalent","None","49","9","012"
"Heating, air conditioning, and refrigeration mechanics and installers","49-9021","Line item",332.9,381.7,48.8,14.7,9.1,38.7,"47080","Postsecondary nondegree award","None","49","9","021"
"Home appliance repairers","49-9031","Line item",46.6,44.7,-1.9,-4.2,28.4,4,"38160","High school diploma or equivalent","None","49","9","031"
"Industrial machinery mechanics","49-9041","Line item",346.9,370.1,23.2,6.7,2.2,33,"51360","High school diploma or equivalent","None","49","9","041"
"Maintenance workers, machinery","49-9043","Line item",89.7,94.7,5,5.6,0.4,9.8,"45540","High school diploma or equivalent","None","49","9","043"
"Millwrights","49-9044","Line item",39.5,43.4,3.9,9.8,NA,4,"53980","High school diploma or equivalent","None","49","9","044"
"Refractory materials repairers, except brickmasons","49-9045","Line item",1.6,1.5,-0.1,-3.5,NA,0.1,"48570","High school diploma or equivalent","None","49","9","045"
"Electrical power-line installers and repairers","49-9051","Line item",120.9,137.7,16.8,13.9,1.7,11.7,"69380","High school diploma or equivalent","None","49","9","051"
"Telecommunications line installers and repairers","49-9052","Line item",106.1,107.7,1.6,1.5,4.7,10.7,"55060","High school diploma or equivalent","None","49","9","052"
"Camera and photographic equipment repairers","49-9061","Line item",4,4.1,0.1,2.3,7.2,0.4,"40770","High school diploma or equivalent","None","49","9","061"
"Medical equipment repairers","49-9062","Line item",47.1,49.1,2,4.3,7.4,4.3,"48820","Associate's degree","None","49","9","062"
"Musical instrument repairers and tuners","49-9063","Line item",8.3,8.4,0.1,1.2,7.9,0.7,"36530","High school diploma or equivalent","None","49","9","063"
"Watch repairers","49-9064","Line item",1.8,1.2,-0.5,-29.7,7.7,0.1,"35770","High school diploma or equivalent","None","49","9","064"
"Precision instrument and equipment repairers, all other","49-9069","Line item",12.6,12.8,0.3,2.1,5.8,1.1,"56940","High school diploma or equivalent","None","49","9","069"
"Maintenance and repair workers, general","49-9071","Line item",1432.6,1545.1,112.5,7.9,1,154.7,"37670","High school diploma or equivalent","None","49","9","071"
"Wind turbine service technicians","49-9081","Line item",5.8,11.3,5.6,96.3,16.9,1.4,"53880","Postsecondary nondegree award","None","49","9","081"
"Coin, vending, and amusement machine servicers and repairers","49-9091","Line item",36.6,32,-4.6,-12.5,7,3.3,"33690","High school diploma or equivalent","None","49","9","091"
"Commercial divers","49-9092","Line item",4.1,4.5,0.4,10.8,17.4,0.4,"47210","Postsecondary nondegree award","None","49","9","092"
"Fabric menders, except garment","49-9093","Line item",0.7,0.6,0,-7.3,17.5,0.1,"28640","High school diploma or equivalent","None","49","9","093"
"Locksmiths and safe repairers","49-9094","Line item",28.7,27.8,-1,-3.3,33,2.5,"40680","High school diploma or equivalent","None","49","9","094"
"Manufactured building and mobile home installers","49-9095","Line item",4.3,4,-0.4,-8.9,26.1,0.3,"30960","High school diploma or equivalent","None","49","9","095"
"Riggers","49-9096","Line item",20.9,22.9,2.1,9.8,NA,2.3,"48580","High school diploma or equivalent","None","49","9","096"
"Signal and track switch repairers","49-9097","Line item",10,10.2,0.1,1.3,14.6,1,"68400","High school diploma or equivalent","None","49","9","097"
"Helpers--installation, maintenance, and repair workers","49-9098","Line item",120.2,133.5,13.3,11.1,0.3,17,"28490","High school diploma or equivalent","None","49","9","098"
"Installation, maintenance, and repair workers, all other","49-9099","Line item",175.8,190.3,14.5,8.2,15.6,18.7,"38800","High school diploma or equivalent","None","49","9","099"
"Production occupations","51-0000","Summary",9356.9,8950,-406.9,-4.3,2.6,990.4,"33990","—","—","51","0","000"
"Supervisors of production workers","51-1000","Summary",621.4,619.5,-1.8,-0.3,1.5,59.3,"58870","—","—","51","1","000"
"First-line supervisors of production and operating workers","51-1011","Line item",621.4,619.5,-1.8,-0.3,1.5,59.3,"58870","High school diploma or equivalent","Less than 5 years","51","1","011"
"Assemblers and fabricators","51-2000","Summary",1819.3,1557.4,-261.9,-14.4,1.2,166.9,"31850","—","—","51","2","000"
"Aircraft structure, surfaces, rigging, and systems assemblers","51-2011","Line item",41.8,34.5,-7.3,-17.4,NA,3.2,"53510","High school diploma or equivalent","None","51","2","011"
"Coil winders, tapers, and finishers","51-2021","Line item",14.1,11.2,-2.9,-20.7,0.4,1.2,"33310","High school diploma or equivalent","None","51","2","021"
"Electrical and electronic equipment assemblers","51-2022","Line item",218.9,173.3,-45.6,-20.8,0.4,18.2,"—","High school diploma or equivalent","None","51","2","022"
"Electromechanical equipment assemblers","51-2023","Line item",45.7,35.9,-9.8,-21.4,0.4,3.8,"—","High school diploma or equivalent","None","51","2","023"
"Engine and other machine assemblers","51-2031","Line item",38,31.5,-6.5,-17.2,NA,2.8,"43390","High school diploma or equivalent","None","51","2","031"
"Structural metal fabricators and fitters","51-2041","Line item",77,65.2,-11.8,-15.3,0.2,6.5,"38450","High school diploma or equivalent","None","51","2","041"
"Fiberglass laminators and fabricators","51-2091","Line item",19.7,19.4,-0.3,-1.5,1.4,2.2,"32290","High school diploma or equivalent","None","51","2","091"
"Team assemblers","51-2092","Line item",1130.9,985.9,-145,-12.8,1.4,107.4,"—","High school diploma or equivalent","None","51","2","092"
"Timing device assemblers and adjusters","51-2093","Line item",0.8,0.6,-0.2,-20.1,NA,0.1,"34800","High school diploma or equivalent","None","51","2","093"
"Assemblers and fabricators, all other","51-2099","Line item",232.4,199.8,-32.6,-14,1.4,21.6,"—","High school diploma or equivalent","None","51","2","099"
"Food processing workers","51-3000","Summary",823,853.7,30.7,3.7,2.1,110.8,"27040","—","—","51","3","000"
"Bakers","51-3011","Line item",191,205.6,14.6,7.6,4.9,29.1,"25690","No formal educational credential","None","51","3","011"
"Butchers and meat cutters","51-3021","Line item",135.7,143.5,7.8,5.8,0.7,17.7,"30890","No formal educational credential","None","51","3","021"
"Meat, poultry, and fish cutters and trimmers","51-3022","Line item",156.4,157.8,1.4,0.9,0.7,19.2,"25250","No formal educational credential","None","51","3","022"
"Slaughterers and meat packers","51-3023","Line item",82.5,83,0.5,0.6,0.7,10.1,"27530","No formal educational credential","None","51","3","023"
"Food and tobacco roasting, baking, and drying machine operators and tenders","51-3091","Line item",20.1,19.9,-0.2,-0.8,1.2,2.2,"29410","No formal educational credential","None","51","3","091"
"Food batchmakers","51-3092","Line item",153.7,156.4,2.6,1.7,1.3,21.7,"28500","High school diploma or equivalent","None","51","3","092"
"Food cooking machine operators and tenders","51-3093","Line item",37.2,38.1,0.9,2.5,0.4,5.2,"28420","High school diploma or equivalent","None","51","3","093"
"Food processing workers, all other","51-3099","Line item",46.4,49.4,3,6.5,6.2,5.6,"24460","No formal educational credential","None","51","3","099"
"Metal workers and plastic workers","51-4000","Summary",1954.7,1886.1,-68.5,-3.5,1.8,192,"38210","—","—","51","4","000"
"Computer-controlled machine tool operators, metal and plastic","51-4011","Line item",145.7,147.3,1.6,1.1,NA,14.5,"39230","High school diploma or equivalent","None","51","4","011"
"Computer numerically controlled machine tool programmers, metal and plastic","51-4012","Line item",25.1,29.2,4.1,16.3,NA,3.1,"52550","Postsecondary nondegree award","None","51","4","012"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic","51-4021","Line item",72.3,61.3,-11,-15.2,NA,5.6,"34600","High school diploma or equivalent","None","51","4","021"
"Forging machine setters, operators, and tenders, metal and plastic","51-4022","Line item",19.2,15.5,-3.7,-19.2,NA,1.4,"38650","High school diploma or equivalent","None","51","4","022"
"Rolling machine setters, operators, and tenders, metal and plastic","51-4023","Line item",29,25.3,-3.7,-12.9,NA,2.3,"37860","High school diploma or equivalent","None","51","4","023"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","51-4031","Line item",192.7,175.9,-16.8,-8.7,0,18.9,"33060","High school diploma or equivalent","None","51","4","031"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","51-4032","Line item",12.3,9.9,-2.4,-19.5,0.6,0.9,"37270","High school diploma or equivalent","None","51","4","032"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","51-4033","Line item",76.2,68.3,-7.8,-10.3,2.6,6.8,"33480","High school diploma or equivalent","None","51","4","033"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","51-4034","Line item",33.7,30.8,-2.8,-8.4,NA,2.9,"38580","High school diploma or equivalent","None","51","4","034"
"Milling and planing machine setters, operators, and tenders, metal and plastic","51-4035","Line item",17.6,14.2,-3.4,-19.3,0.6,1.3,"42650","High school diploma or equivalent","None","51","4","035"
"Machinists","51-4041","Line item",396.2,404.1,7.9,2,1.6,40.7,"42600","High school diploma or equivalent","None","51","4","041"
"Metal-refining furnace operators and tenders","51-4051","Line item",17.7,16.3,-1.4,-8.1,NA,1.5,"41300","High school diploma or equivalent","None","51","4","051"
"Pourers and casters, metal","51-4052","Line item",8.4,6.5,-2,-23.4,NA,0.5,"38210","High school diploma or equivalent","None","51","4","052"
"Model makers, metal and plastic","51-4061","Line item",6.3,5.5,-0.8,-12.2,NA,0.6,"53670","High school diploma or equivalent","None","51","4","061"
"Patternmakers, metal and plastic","51-4062","Line item",3.4,2.9,-0.5,-15.5,NA,0.3,"45030","High school diploma or equivalent","None","51","4","062"
"Foundry mold and coremakers","51-4071","Line item",12.5,9.5,-3,-24,NA,0.9,"35140","High school diploma or equivalent","None","51","4","071"
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","51-4072","Line item",145.4,123.6,-21.8,-15,NA,12.9,"31090","High school diploma or equivalent","None","51","4","072"
"Multiple machine tool setters, operators, and tenders, metal and plastic","51-4081","Line item",117.8,114.7,-3.1,-2.7,0.6,12,"34800","High school diploma or equivalent","None","51","4","081"
"Tool and die makers","51-4111","Line item",72.5,67.3,-5.2,-7.2,0.4,6,"52480","Postsecondary nondegree award","None","51","4","111"
"Welders, cutters, solderers, and brazers","51-4121","Line item",404.8,427.3,22.5,5.6,5.4,45.8,"40240","High school diploma or equivalent","None","51","4","121"
"Welding, soldering, and brazing machine setters, operators, and tenders","51-4122","Line item",49.2,44.2,-5,-10.2,5.6,4.4,"37190","High school diploma or equivalent","None","51","4","122"
"Heat treating equipment setters, operators, and tenders, metal and plastic","51-4191","Line item",19.8,17,-2.8,-14.2,0.6,1.7,"37300","High school diploma or equivalent","None","51","4","191"
"Layout workers, metal and plastic","51-4192","Line item",9.2,8.5,-0.6,-6.9,NA,0.9,"46310","High school diploma or equivalent","None","51","4","192"
"Plating and coating machine setters, operators, and tenders, metal and plastic","51-4193","Line item",35.3,30.4,-4.9,-13.8,NA,2.8,"31920","High school diploma or equivalent","None","51","4","193"
"Tool grinders, filers, and sharpeners","51-4194","Line item",9.5,9.2,-0.3,-3.5,NA,1.1,"36390","High school diploma or equivalent","None","51","4","194"
"Metal workers and plastic workers, all other","51-4199","Line item",23,21.4,-1.5,-6.7,0.6,2.2,"35820","High school diploma or equivalent","None","51","4","199"
"Printing workers","51-5100","Summary",267.3,235.4,-31.9,-11.9,4.5,24.7,"35560","—","—","51","5","100"
"Prepress technicians and workers","51-5111","Line item",34.6,27.7,-6.9,-19.9,3.8,3,"39910","Postsecondary nondegree award","None","51","5","111"
"Printing press operators","51-5112","Line item",178.7,160.2,-18.6,-10.4,5.1,15.8,"35760","High school diploma or equivalent","None","51","5","112"
"Print binding and finishing workers","51-5113","Line item",54,47.6,-6.5,-12,3.1,6,"32040","High school diploma or equivalent","None","51","5","113"
"Textile, apparel, and furnishings workers","51-6000","Summary",654.3,599.9,-54.4,-8.3,10.9,70.4,"24370","—","—","51","6","000"
"Laundry and dry-cleaning workers","51-6011","Line item",220.1,219.6,-0.5,-0.2,4.6,29.5,"22370","No formal educational credential","None","51","6","011"
"Pressers, textile, garment, and related materials","51-6021","Line item",45,42,-3,-6.7,NA,5.2,"22440","No formal educational credential","None","51","6","021"
"Sewing machine operators","51-6031","Line item",153.9,128.2,-25.7,-16.7,9.9,12.3,"24320","No formal educational credential","None","51","6","031"
"Shoe and leather workers and repairers","51-6041","Line item",11,9.7,-1.3,-11.7,29.8,0.8,"25610","High school diploma or equivalent","None","51","6","041"
"Shoe machine operators and tenders","51-6042","Line item",3.6,3.3,-0.3,-9.5,4.4,0.4,"27420","High school diploma or equivalent","None","51","6","042"
"Sewers, hand","51-6051","Line item",13.5,11.6,-1.8,-13.7,51.7,1.4,"26230","No formal educational credential","None","51","6","051"
"Tailors, dressmakers, and custom sewers","51-6052","Line item",44.3,39.8,-4.5,-10.1,51.9,4.8,"28600","No formal educational credential","None","51","6","052"
"Textile bleaching and dyeing machine operators and tenders","51-6061","Line item",11.3,9.2,-2,-18.1,4.4,1,"28280","High school diploma or equivalent","None","51","6","061"
